Module,Feature Category,Feature Name,Sub Feature,Description,Primary Role,Secondary Roles,Navigation Path,Current Status,Completion Percentage,UI Available,Backend Available,API Connected,Database Ready,Offline Support,Push Notifications,Stub Present,Stub Details,TODO Present,Uses Dummy Data,Uses Mock API,Hidden Feature,Unused Code,Platform,Dependencies,Priority,Business Criticality,Recommended Action,Missing Capability,Suggested Enhancement,Industry Standard,Competitor Reference,Estimated Development Effort,Notes
Stubs/Placeholders,School Admin,Notifications (Comms),Admin notification management,Compose + send targeted notifications,School Admin,-,Comms → Notifications tab,🟠 Stub,15,Yes,No,No,No,No,No,No,VComingSoon — backend exists (POST /admin/notifications/send) but no admin UI,No,No,No,No,No,All,-,Medium,Medium,Build admin notification composer UI,Notification management,PowerSchool,M,,,
Stubs/Placeholders,Discovery,SRI Score,School Reputation Index,Weighted scoring of school reputation,Parent,-,Discovery → school detail,🟡 Partially Implemented,40,Yes,No,No,No,No,No,No,"VComingSoon — UI chrome only, some fields Coming Soon",No,No,No,No,No,All,-,Low,Low,Build SRI scoring algorithm + backend,School rating,GreatSchools,M,SriPreview.kt,,
Stubs/Placeholders,Discovery,School Profile Fields,"Classes offered, teacher-student ratio",School profile details on discovery,Parent,-,Discovery → school detail,🟡 Partially Implemented,30,Yes,No,No,No,No,No,No,"Coming Soon text for classes offered, teacher-student ratio",No,No,No,No,No,All,-,Low,Low,Add fields to schools table + API,School profile completeness,GreatSchools,S,,,
Stubs/Placeholders,School Admin,School Settings Rows,Additional settings rows,Various settings options,School Admin,-,Settings tab,🟡 Partially Implemented,40,Yes,No,No,No,No,No,No,Some rows show Coming soon text,No,No,No,No,No,All,-,Low,Low,Implement remaining settings,Settings completeness,PowerSchool,S,,,
Stubs/Placeholders,Parent,Fee Payment Online,Online fee payment gateway,Pay fees via Razorpay/Stripe,Parent,-,Fees tab,🔴 TODO,0,No,No,No,No,No,No,No,"No backend, no payment gateway",No,No,No,No,No,-,-,High,Critical,Integrate Razorpay/Stripe + backend,Online fee payment,"PowerSchool, Infinite Campus",L,,,
Stubs/Placeholders,Common,Biometric (iOS),iOS biometric authentication,Face ID / Touch ID for app login,Parent,"Teacher, School Admin",App launch,🟠 Stub,10,Yes,No,No,No,No,No,No,"Platform abstraction exists, no iOS implementation",No,No,No,No,No,iOS,LAContext,Medium,Medium,Implement iOS LAContext biometric,Biometric auth,PowerSchool,M,"BiometricAuthenticator.kt has expect, .android.kt has impl, no .ios.kt",,
Stubs/Placeholders,Common,CommonLandingScreenV2,Legacy landing screen,Previous landing page version,Parent,School Admin,Not navigated to,⚫ Dead Code,0,Yes,No,No,No,No,No,No,"Replaced by V3, file exists but unused",No,No,No,No,Yes,All,-,Low,Low,Remove dead file,-,-,-,CommonLandingScreenV2.kt,,
Stubs/Placeholders,Tests,FakeAuthRepository,Test fake with TODO() stubs,All methods return TODO(),-,-,Test only,🟠 Stub,10,No,No,No,No,No,No,No,All methods throw TODO(),Yes,No,No,No,No,Test,-,Low,Low,Implement test fakes properly,-,-,-,MainViewModelTest.kt FakeAuthRepository,,
Missing/Recommended,Transport,Live Bus Tracking,Real-time GPS tracking of school buses,"GPS tracking, ETA, route deviation alerts",Parent,"School Admin, Teacher",-,🔴 Missing,0,No,No,No,No,No,No,No,-,No,No,No,No,No,-,-,High,High,Build GPS tracking module + map UI + backend,Safety and peace of mind for parents,"PowerSchool, Infinite Campus",L,Industry standard for K-12 transport,,
Missing/Recommended,Transport,Transport Management,Bus route & stop management,"Route assignment, stop management, driver allocation",School Admin,-,-,🔴 Missing,0,No,No,No,No,No,No,No,-,No,No,No,No,No,-,-,Medium,Medium,Build transport module,Operational efficiency,"PowerSchool, Infinite Campus",L,,,
Missing/Recommended,Library,Library Management,Library book management,"Catalog, issue/return, fines, reservations",School Admin,"Teacher, Parent",-,🔴 Missing,0,No,No,No,No,No,No,No,-,No,No,No,No,No,-,-,Medium,Low,Build library module,Complete ERP coverage,"PowerSchool, Infinite Campus",L,,,
Missing/Recommended,Health,Health Records,Student health & immunization records,"Immunization tracking, medical conditions, medications",School Admin,"Teacher, Parent",-,🔴 Missing,0,No,No,No,No,No,No,No,-,No,No,No,No,No,-,-,High,High,Build health records module + UI,"Student safety, compliance","PowerSchool, Infinite Campus",L,Mandatory in many jurisdictions,,
Missing/Recommended,Communication,Multi-language Support,Multi-language / translation,In-app translation for messages and announcements,Parent,"School Admin, Teacher",-,🔴 Missing,0,No,No,No,No,No,No,No,-,No,No,No,No,No,-,-,High,High,Integrate translation API (Google Translate / TalkingPoints),ESL family engagement,"TalkingPoints, ClassDojo (30+ languages)",L,Critical for diverse communities,,
Missing/Recommended,Communication,Voice/Video Calls,In-app voice/video calls,Parent-teacher voice/video calls,Parent,Teacher,-,🔴 Missing,0,No,No,No,No,No,No,No,-,No,No,No,No,No,-,-,Medium,Medium,Integrate WebRTC,Deeper communication,"ClassDojo, Remind",L,,,
Missing/Recommended,Communication,Broadcast Groups,Group/channel communication,"Class-wide, grade-wide broadcast channels",School Admin,"Teacher, Parent",-,🟡 Partially Implemented,30,Yes,Yes,Yes,Yes,No,No,No,"Teacher class broadcast exists, no admin broadcast groups",No,No,No,No,No,All,-,Medium,Medium,Add admin-managed broadcast groups,Mass communication,"ClassDojo, Remind",M,Teacher has POST /teacher/messages/class but no admin broadcast,,
Missing/Recommended,Academics,Report Cards (PDF),Formal report card generation,"Generate PDF report cards with grades, comments, attendance",School Admin,"Teacher, Parent",-,🔴 Missing,0,No,No,No,No,No,No,No,-,No,No,No,No,No,-,-,High,High,Build PDF report card generator,Formal academic reporting,"PowerSchool, Infinite Campus",L,,,
Missing/Recommended,Academics,Exam Timetable,Exam schedule management,"Create exam timetables, publish to parents/teachers",School Admin,"Teacher, Parent",-,🔴 Missing,0,No,No,No,No,No,No,No,-,No,No,No,No,No,-,-,Medium,High,Build exam timetable module,Exam planning,"PowerSchool, Infinite Campus",M,,,
Missing/Recommended,Academics,Grading System Configuration,Configurable grading scales,"Custom grade scales, GPA, weighted grades",School Admin,-,-,🔴 Missing,0,No,No,No,No,No,No,No,-,No,No,No,No,No,-,-,Medium,High,Build configurable grading system,Flexible grading,"PowerSchool, Infinite Campus",M,"Currently marks are raw numbers, no grade scale mapping",,
Missing/Recommended,Academics,Lesson Planning,Teacher lesson planning,"Create lesson plans, link to syllabus units",Teacher,-,-,🔴 Missing,0,No,No,No,No,No,No,No,-,No,No,No,No,No,-,-,Medium,Medium,Build lesson planning module,Teacher productivity,"Google Classroom, Canvas",M,,,
Missing/Recommended,Academics,Online Assignments,Online assignment submission & grading,"Students submit assignments online, teacher grades digitally",Teacher,Parent,-,🟡 Partially Implemented,40,Yes,Yes,Yes,Yes,No,No,No,Homework submissions exist but no online submission portal for students,No,No,No,No,No,All,-,High,Medium,Build student-facing assignment portal,Digital assignments,"Google Classroom, Canvas",L,HomeworkSubmissionsTable exists but student-facing portal missing,,
Missing/Recommended,Student Engagement,Behavior Tracking,Student behavior tracking,"Positive/negative behavior points, incidents",Teacher,"School Admin, Parent",-,🔴 Missing,0,No,No,No,No,No,No,No,-,No,No,No,No,No,-,-,Medium,Medium,Build behavior tracking module,Student engagement,"ClassDojo, PowerSchool",M,ClassDojo's core feature,,
Missing/Recommended,Student Engagement,Digital Portfolio,Student digital portfolio,"Showcase student work, photos, videos",Teacher,"Parent, Student",-,🔴 Missing,0,No,No,No,No,No,No,No,-,No,No,No,No,No,-,-,Medium,Medium,Build portfolio module,Student engagement,"ClassDojo, Seesaw",L,,,
Missing/Recommended,Student Engagement,Student App,Student-facing app,"Students view assignments, submit homework, check grades",Student,-,-,🔴 Missing,0,No,No,No,No,No,No,No,-,No,No,No,No,No,-,-,High,Medium,Build student portal,Student engagement,"Google Classroom, Canvas",L,No student role exists in the app,,
Missing/Recommended,Analytics,PEWS (Predictive Early Warning System),AI-powered at-risk student prediction,"Risk snapshots, interventions, case files, effectiveness priors, feature flags, config",School Admin,Teacher,-,🟡 ✅ Complete,75,Yes,Yes,Yes,Yes,No,No,No,"PEWS 2.0 agentic redesign implemented: PewsRiskSnapshotsTable, PewsInterventionsTable, PewsConfigTable, PewsFeatureFlagsTable, PewsCaseFilesTable, PewsEffectivenessPriorsTable. AI gateway integration for risk scoring.",No,No,No,No,No,All,-,High,High,-,Early intervention,Emerging EdTech trend,L,"PEWS 2.0 backend + DB ready, AI gateway wired",,
Missing/Recommended,Analytics,Custom Report Builder,Custom report generation,Admin creates custom reports with filters,School Admin,-,-,🔴 Missing,0,No,No,No,No,No,No,No,-,No,No,No,No,No,-,-,Medium,Medium,Build report builder,Reporting flexibility,"PowerSchool, Infinite Campus",L,,,
Missing/Recommended,Analytics,Export & State Reporting,State/compliance reporting,Generate state-mandated compliance reports,School Admin,-,-,🔴 Missing,0,No,No,No,No,No,No,No,-,No,No,No,No,No,-,-,High,High,Build compliance reporting module,Regulatory compliance,"PowerSchool, Infinite Campus",L,Mandatory for US/UK schools,,
Missing/Recommended,Finance,Fee Payment Gateway,Online fee payment,Razorpay/Stripe integration for fee payment,Parent,School Admin,-,🔴 Missing,0,No,No,No,No,No,No,No,-,No,No,No,No,No,-,-,High,Critical,Integrate payment gateway + backend,Revenue collection,"PowerSchool, Infinite Campus",L,,,
Missing/Recommended,Finance,Expense Management,School expense tracking,"Track expenses, vendor payments, budget",School Admin,-,-,🔴 Missing,0,No,No,No,No,No,No,No,-,No,No,No,No,No,-,-,Medium,Medium,Build expense module,Financial management,PowerSchool,L,,,
Missing/Recommended,Finance,Payroll Management,Staff payroll,"Teacher/staff salary management, payslips",School Admin,-,-,🔴 Missing,0,No,No,No,No,No,No,No,-,No,No,No,No,No,-,-,Medium,Medium,Build payroll module,HR management,"PowerSchool, Infinite Campus",L,,,
Missing/Recommended,Finance,Scholarship Applications,Scholarship application workflow,"Apply, review, approve scholarships",Parent,School Admin,-,🟡 Partially Implemented,40,Yes,Yes,Yes,Yes,No,No,No,"Scholarships viewable, no application workflow",No,No,No,No,No,All,-,Medium,Low,Build application + approval workflow,Financial aid,PowerSchool,M,"ScholarshipsTable + ScholarshipApplicationsTable exist, GET /scholarships only",,
Missing/Recommended,Admin,Inventory Management,School inventory tracking,"Assets, equipment, consumables management",School Admin,-,-,🔴 Missing,0,No,No,No,No,No,No,No,-,No,No,No,No,No,-,-,Low,Low,Build inventory module,Operational efficiency,PowerSchool,L,,,
Missing/Recommended,Admin,Visitor Management,Visitor check-in/check-out,"Visitor logging, gate pass, approval",School Admin,-,-,🔴 Missing,0,No,No,No,No,No,No,No,-,No,No,No,No,No,-,-,Low,Low,Build visitor module,Campus security,-,M,,,
Missing/Recommended,Admin,Alumni Management,Alumni network & tracking,"Alumni directory, events, donations",School Admin,-,-,🔴 Missing,0,No,No,No,No,No,No,No,-,No,No,No,No,No,-,-,Low,Low,Build alumni module,Engagement + fundraising,"PowerSchool, Blackbaud",L,,,
Missing/Recommended,Communication,Email Integration,Email notifications,"Send emails via SMTP for announcements, reports",School Admin,"Teacher, Parent",-,🟡 Partially Implemented,30,No,Yes,Yes,Yes,No,No,No,"SMTP exists for OTP only, not for general notifications",No,No,No,No,No,Server,-,Medium,Medium,Extend SMTP for general email notifications,Multi-channel communication,"PowerSchool, Remind",M,SmtpEmailProvider exists but only for OTP,,
Missing/Recommended,Communication,WhatsApp Integration,WhatsApp Business API messaging,"Send announcements, alerts via WhatsApp",School Admin,"Teacher, Parent",-,🟡 Partially Implemented,40,No,Yes,Yes,Yes,No,No,No,"WhatsApp provider exists for OTP, announcements sync-whatsapp endpoint exists",No,No,No,No,No,Server,-,Medium,Medium,Extend WhatsApp for general notifications,Popular channel in India,ClassDojo (30+ languages),M,WhatsAppCloudProvider exists but only for OTP delivery,,
Missing/Recommended,Platform,iOS Push Notifications,APNs push for iOS,iOS-specific push notification via APNs,Parent,"School Admin, Teacher",-,🔴 Missing,0,No,No,No,No,No,No,No,-,No,No,No,No,No,iOS,APNs,High,High,Implement APNs integration on server,iOS push delivery,Standard,M,"Server has FCM only, no APNs configuration",,
Missing/Recommended,Platform,Web App,Web application,Browser-based access to all portals,Parent,"School Admin, Teacher",-,🟡 Partially Implemented,40,Yes,No,No,No,No,No,No,KMP targets wasmJs/js but no web-specific UI,No,No,No,No,No,Web,-,High,Medium,Build web UI shell + responsive layouts,Accessibility,"PowerSchool, Infinite Campus",L,Gradle configures wasmJs/js targets but no web entry point,,
Missing/Recommended,Platform,Offline Mode,Full offline support,"Cache-then-network reads, offline write outbox, sync engine, storage caps, LRU eviction, dead-letter, backoff jitter, telemetry",Parent,"Teacher, School Admin",-,🟡 Needs Review (Priyanshu),90,Yes,Yes,Yes,Yes,Yes,No,No,"All 4 phases complete: Phase 0 (foundations), Phase 1 (cache-then-network reads: Announcements + Teacher Today), Phase 2 (SyncEngine + Attendance offline write), Phase 3 (7 teacher writes: leave decide/apply, homework assign/extend/review/close, broadcast), Phase 4 (hardening: storage caps, LRU eviction, dead-letter, jitter, telemetry). 8 offline write operations. AppDatabase v4.",No,No,No,No,No,All,Room,High,High,Review offline sync reliability + edge cases,Connectivity resilience,PowerSchool,L,"ALL PHASES COMPLETE ✅. Needs review from Priyanshu ji",,
Missing/Recommended,Platform,Dark Mode,Dark theme,System-aware dark color scheme,Parent,"School Admin, Teacher",-,🟡 Partially Implemented,30,Yes,No,No,No,No,No,No,"VTheme has tone system, no dark color palette defined",No,No,No,No,No,All,-,Medium,Medium,Define dark color tokens + theme switching,User preference,"ClassDojo, PowerSchool",M,VColors has no dark variant,,
Missing/Recommended,Platform,Tablet/Layout Adaptivity,Responsive tablet layouts,Optimized layouts for tablets/ipads,Parent,"School Admin, Teacher",-,🟡 Partially Implemented,20,Yes,No,No,No,No,No,No,"Some widthIn(max) constraints, no true responsive layouts",No,No,No,No,No,All,-,Medium,Medium,Build responsive layout system,Tablet support,"PowerSchool, Infinite Campus",M,,,
Missing/Recommended,Security,Two-Factor Authentication,2FA for admin accounts,TOTP/SMS second factor for admin login,School Admin,-,-,🔴 Missing,0,No,No,No,No,No,No,No,-,No,No,No,No,No,-,-,High,High,Implement 2FA module,Security,"PowerSchool, Infinite Campus",M,,,
Missing/Recommended,Security,Audit Log,Activity audit trail,"Log all admin actions, data access, changes",School Admin,-,-,🔴 Missing,0,No,No,No,No,No,No,No,-,No,No,No,No,No,-,-,Medium,High,Build audit logging module,Compliance + security,"PowerSchool, Infinite Campus",L,,,
Missing/Recommended,Security,Data Privacy Compliance,GDPR/FERPA compliance tools,"Data export, deletion, consent management",School Admin,-,-,🔴 Missing,0,No,No,No,No,No,No,No,-,No,No,No,No,No,-,-,High,Critical,Build privacy compliance module,Legal compliance,"PowerSchool, Infinite Campus",L,Mandatory for EU/US schools,,
Missing/Recommended,Communication,Calendar Sync,Sync with Google/Outlook calendar,Export school events to personal calendars,Parent,"Teacher, School Admin",-,🔴 Missing,0,No,No,No,No,No,No,No,-,No,No,No,No,No,-,-,Low,Medium,Implement iCal/CalDAV export,Convenience,PowerSchool,S,,,
Missing/Recommended,Academics,Curriculum Templates,Pre-built curriculum templates,Standard curriculum templates by board/grade,School Admin,Teacher,-,🔴 Missing,0,No,No,No,No,No,No,No,-,No,No,No,No,No,-,-,Medium,Medium,Build curriculum template library,Faster onboarding,"Canvas, Moodle",L,CurriculumUnitsTable exists but no template system,,
Missing/Recommended,Engagement,Parent Feedback Surveys,Survey/poll creation,Create surveys for parent feedback,School Admin,Teacher,-,🔴 Missing,0,No,No,No,No,No,No,No,-,No,No,No,No,No,-,-,Medium,Medium,Build survey module,Engagement,"ClassDojo, Bloomz",M,,,
Missing/Recommended,Engagement,Event Registration,Event RSVP/registration,"Parents register for school events, PTM slots",Parent,School Admin,-,🟡 Partially Implemented,30,Yes,Yes,Yes,Yes,No,No,No,"PTM scheduling exists, no parent-side slot booking",No,No,No,No,No,All,-,Medium,Medium,Build parent PTM slot booking,Event management,SchoolStatus,M,Admin can create PTM events but parent cant book slots,,
Missing/Recommended,Admin,Multi-School Management,Multi-campus / franchise management,Manage multiple schools under one admin,School Admin,-,-,🔴 Missing,0,No,No,No,No,No,No,No,-,No,No,No,No,No,-,-,Medium,Medium,Build multi-school architecture,Scalability,"PowerSchool, Blackbaud",L,Currently single-school per admin,,
Missing/Recommended,Communication,Read Receipts,Message read receipts,See if messages were read by recipient,Parent,"Teacher, School Admin",-,✅ Complete,80,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,-,Low,Low,-,-,Read receipts,"ClassDojo, Remind",-,POST /threads/{id}/read exists,
Missing/Recommended,Academics,AI Tutoring,AI-powered tutoring assistant,"Personalized learning recommendations, doubt resolution, mastery tracking, misconception detection, RAG knowledge base",Student,"Teacher, Parent",-,� ✅ Complete,75,Yes,Yes,Yes,Yes,No,No,No,"AI Tutor 2.0 agentic redesign implemented: TutorSessionsTable, TutorReviewStateTable, TutorMasteryTable, TutorMisconceptionsTable, TutorKnowledgeChunksTable. AI gateway integration for tutoring. RAG knowledge base.",No,No,No,No,No,All,-,High,Medium,-,Emerging trend,"Khan Academy (Khanmigo), emerging EdTech",L,"AI Tutor 2.0 backend + DB ready, AI gateway wired",,
Missing/Recommended,Admin,Bulk Import/Export,Bulk data import/export,"CSV import for students, teachers, marks",School Admin,-,-,🟡 Partially Implemented,30,No,Yes,Yes,Yes,No,No,No,"Onboarding wizard has bulk entry, no CSV import/export",No,No,No,No,No,All,-,Medium,High,Build CSV import/export module,Data migration efficiency,"PowerSchool, Infinite Campus",M,Onboarding has inline bulk entry but no file upload,,
Missing/Recommended,Communication,Scheduled Announcements,Schedule announcements for future,"Schedule announcements, admin broadcasts, teacher broadcasts with dispatch scheduler, cancel, force-dispatch, retry, idempotency",School Admin,Teacher,-,✅ Complete,95,Yes,Yes,Yes,Yes,No,No,No,"Message Scheduling feature N1-N16 complete: ScheduledMessagesTable, MessageDispatchScheduler (1-min poll), 6 REST endpoints, ScheduledMessagesScreenV2 with filter chips, VScheduleToggle, VTimePicker, website admin schedule toggle, 24 integration tests passing.",No,No,No,No,No,All,-,Low,Medium,-,-,Communication planning,"ClassDojo, Remind",S,"Run migration-104-scheduled-messages.sql in Supabase before testing",,
Missing/Recommended,Platform,App Store Optimization,App store listings,Optimized Play Store / App Store listings,Parent,"School Admin, Teacher",-,🟡 Partially Implemented,20,No,No,No,No,No,No,No,"App exists, no ASO optimization",No,No,No,No,No,"Android, iOS",-,Low,Medium,Optimize store listings + screenshots,Discovery,ClassDojo,S,,,
